Canonical_Place	Merge_Into	Aliases
Pacfeld		Pacfeld, Pakefeld, Pakefield
Padson		Padson
Paldavy		Paldavy, Poldavid, Poldavy, Pouldavid
Paris		Paris
Paulys		Paulys
Peasmarsh		Peasmarsh, Pesmarke
Pemsey		Pemsey
Penmark		Penmark, Penmarke
Pennorth		Pennorth
Pette		Pette, Petten, Pitte, Pitte in Holandia
Pety		Pety
Pirwyn		Pirwyn
Pisa		Pisa
Pitsea		Pitsea, Pytsey
Plymmoth		Plymmoth, Plymmothe, Plymmouth, Plymmowthe, Plymouth, Plymowthe
Polmaneke		Polmaneke
Portagaletta		Portagaletta, Portegalett, Portigalett, Portogalett, Portogalette, Portu Galetto, Portugaleta, Portugalete, Portygalet
Portingal		Portingal
Portismouth		Portismouth, Portsmouth
Poulesby		Poulesby
Primerende		Primerende, Purmerend
Prowe		Prowe
Prussia		Prussia
Putten		Putten
Quedas		Quedas
Queenborough		Queenborough, Queneborough, Quynborgh, Quynburgh
Queenborourgh		Queenborourgh, Queneburgh
Rainham		Rainham, Raynam, Rayneham, Raynham, Regham, Rengham, Reyneham, Reynham, Reynhame, Ryneham
Rebadow		Rebadow, Rebydavy, Ribadeo
Rede		la Rede, Rede
Redereth		Redereth, Rederithe, Rotherhithe, Rotherhythe
Reimerswaal		Reimerswaal, Remersale, Romersale, Romeswale
Religione		Religione
Remedio		Remedio, Remedis
Rocheford hundred		Rocheford hundred
Rotterdam		Rotterdam
Rye		Rye
Ryvelle		Ryvelle, Réville
Sainct Sebastian		Sainct Sebastian, Saint Sebastiano, San Sebastian, Sancto Sabestiano, Sancto Sebastiano, Seint Sebastian, Sent Sabastian, Sent Sebastian, Sisto
Salcot		Salcot, Salcote, Salcott, Saltcot
Saltash		Saltash, Saltasshe
Saltfleet Haven		Saltfleet Haven, Saltflete Haven
San Vicente de la Barquera		San Vicente de la Barquera
Sancta Ositha		Sancta Ositha, Sancto Ositho, Saynt Osy, Seint Osys, Sent Osiis, Sent Osys, Seynt Osy, St Osyth
Sancto Egidio		Sancto Egidio, Sancto Egidius
Saturday van Andewarp		Saturday van Andewarp
Savallo		Savallo
Scarborough		Scarborough, Scarburgh
Scheveningen		Scheveningen, Skevenyng in Holandia
Scotland		Scotland
Sealand		Sealand
Seint Osies		Seint Osies
Seint Tosez		Seint Tosez
Selandia		Selandia, Zealand, Zelandia
Selice		Selice, Serykese, Seryse, Zerikcee, Zierikzee
Sen Petyr		Sen Petyr
Sent Mary		Sent Mary
Seynt Andre		Seynt Andre
Seynt Malos		Seynt Malos, St Malo
Seynt Omers		Seynt Omers, St Omer
Shoreham		Shoreham
Sicester		Sicester
Sisewelle		Sisewelle, Siswelle, Sizewell, Sysewelle, Syswelle
Sluys		Sluys
Snaith		Snaith, Snayth, Snayth in comitatu Eborum
Snodland		Snodland, Snodlond
Sopeland		Sopeland
Soutamton		Soutamton
South Shoebury		South Shoebury
Southold		Southold, Southwold, Southwolde, Suthwolde
St. Albans		St. Albans
St. Asaph		St. Asaph
St. David's		St. David's
Steelyard		Steelyard, Steleyerd, Stileyerd, Styleyerd
Steleerd		Steleerd
Strait of Gibraltar		Strait of Gibraltar
Straits of Gibraltar		nave propria,7 last tall cum aliis £20 3s 4d, nave propria,pro7 last tall cum aliis £20 3s 4d, Straits of Gibraltar
Strictus de Marock		Strictus de Marock
Strictus de Marrok		Strictus de Marrok
Strode		Strode, Strood
Summaya		Summaya, Summaya in Spain, Zumaya
Tassell' in Holandia		Tassell' in Holandia
Terre and Bred		Terre and Bred
Tesselle		Tesselle, Tesselle in Holandia, Texel
Thorow the Water		Thorow the Water
Thorp		Thorp, Thorpe
Thorpehight		Thorpehight
Tiel		Tiel
Tilbury		Tilbury
Tolen		Tolen, Tolle, Tolle in Zelandia, Tolne
Tolson		Tolson
Topsham		Topsham
Totehylle		Totehylle
Tuke		Tuke
Tynemouth		Tynemouth, Tynmouthe
van Donkyrk		van Donkyrk
Vawe		la Vawe, Vawe
Venecia		Venecia, Venesia, Venetia, Venice, Venicia, Venyce
Veres		Veres
Vewe		la Vewe, Vewe
Viana		Viana, Viana do Castello, Viano, Vyana
Victoria		Victoria, Vitoria
Vila do Conde		Vila do Conde, Villa Cunda, Villa Decondo
Villa Franca		Villa Franca
Vlissingen in Zealand		Vlissingen in Zealand
Wakeryng		Wakeryng
Walbersewek		Walbersewek, Walberswick, Walberswik, Walberswyk, Walberswyke, Walbourswyk, Walbourswyke, Walbreswyke, Westende
Walmer		Walmer
Walravonshire		Walravonshire
Walton		Walton, Walton possibly West Walton
West Thurrock		West Thurrock, West Thurrok
Westcable in Zelandia		Westcable in Zelandia, Westkapelle
Westenschouwen		Westenschouwen, Westenscowe, Westenscowe in Zelandia, Westonscowe
Westminster		Westminster
Westmorland		Westmorland
Westscowe		Westscowe, Worcester
Weymoth		Weymoth
Weymothe		Weymothe, Weymouth
Whitby		Whitby, Whytby
Willesden		Willesden, Willesdon, Willisdon
Windsor		Windsor
Wivenhoe		Wivenhoe, Wyvenho
Wiveton		Wiveton, Wyfeton
Wodbruge		Wodbruge
Wodbryg		Wodbryg, Wodbrygge
Wolwich		Wolwich, Wolwych, Woolwich
Woodbridge		Woodbridge
Wyk		Wyk
Wyskyne		Wyskyne
York		York, Yorke
