Canonical_Ship_Name	Merge_Into	Ship_Names
Sent Johanne		Sent Johanne
Sent Nichoes		Sent Nichoes
Sent Sebastian		Sent Sebastian
Serpent		Serpent
Sesio		Sesio
Seynt		Seynt
Seynt George		Seynt George
Seynt Martynkynght		Seynt Martynkynght
Shepard		Shepard
Shoventre		Shoventre
Silvester		Silvester
Speraunce		Speraunce
Squyrelle		Squyrelle
Stephanus		Stephanus
Stephen		Stephen, Steven
Stephyn		Stephyn
Stokker		Stokker
Strictus		Strictus
Sumpcion		Sumpcion
Sunday		Sunday
Swallow		Swallow
Swanne		Swanne
Tarrabote		Tarrabote
Tesselle		Tesselle
the		the
Thoma Magdalen		Thoma Magdalen
Thomas		Thomas
Thomas Anne		Thomas Anne
Thomas Basset		Thomas Basset
Thomas Fyncham		Thomas Fyncham
Thomas Lewse		Thomas Lewse
Thomas Magdalen		Thomas Magdalen
Thomas Owtlawe		Thomas Owtlawe
Thyng		Thyng
Trego		Trego
Tremmer		Tremmer
Trenite		Trenite, Trenyte
Tres Magos		Tres Magos
Trinitas		Trinitas
Trinitas Bekk		Trinitas Bekk
Trinitas Goodwyn		Trinitas Goodwyn
Trinitas Owtlawe		Trinitas Owtlawe
Trinite		Trinite, Trynite, Trynyte
Trinity		Trinity, Trynyty
Tronyon		Tronyon
Trumper		Trumper
Trymmer		Trymmer
Trymware		Trymware
Tyve		Tyve
una		una
Unicorne		Unicorne
Unycorne		Unycorne
Ursula		Ursula
Valantinus		Valantinus
Valentinus		Valentinus
Valentyn		Valentyn
Valentyne		Valentyne
ValentyneSper		ValentyneSper
van Campe		van Campe
Veronica		Veronica
Vincencius		Vincencius
Vincent		Vincent
Vincentius		Vincentius
Volantyn		Volantyn
Welecome		Welecome
Wilbord		Wilbord, Wylbord
Wilbrord		Wilbrord
Willelmus		Willelmus
William		William
Wylliam		Wylliam
Wyllyam		Wyllyam
Wyndesore		Wyndesore
